,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.2,3,0.05,0.549,83.83,96.8434,95.0059,99.9407,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
1,1,0.2,3,0.05,0.133,96.0183,99.8951,97.4288,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
2,2,0.2,3,0.05,0.083,97.4367,99.955,97.953,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
3,3,0.2,3,0.05,0.068,97.8217,99.9584,96.608,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
4,4,0.2,3,0.05,0.055,98.2783,99.9767,98.3584,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
5,5,0.2,3,0.05,0.047,98.51,99.9883,98.4079,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
6,6,0.2,3,0.05,0.041,98.675,99.9867,98.5364,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
7,7,0.2,3,0.05,0.035,98.8683,99.9933,98.8232,100.0001,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
8,8,0.2,3,0.05,0.033,98.9417,99.9917,96.074,99.9803,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
9,9,0.2,3,0.05,0.03,98.995,99.995,97.9134,99.9902,"[8, 36, 245]",129749,69.9,866475,-101.3,1271520,-47.7
