,epoch,cr layerwise,cross val,learning_rate,train_loss,train_accuracy(%),top_5_accuracy(%),test_accuracy(%),top_5_test_accuracy(%),ranks,# effective parameters,cr_test (%),# effective parameters train,cr_train (%),# effective parameters train with grads,cr_train_grads (%)
0,0,0.96,0,0.05,2.302,11.2367,51.3382,11.4023,51.6515,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
1,1,0.96,0,0.05,1.978,26.5883,68.8383,70.8169,98.3584,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
2,2,0.96,0,0.05,0.398,86.5717,99.4503,92.5732,99.6935,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
3,3,0.96,0,0.05,0.208,93.31,99.8101,93.8192,99.8319,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
4,4,0.96,0,0.05,0.203,93.48,99.8368,93.9972,99.8418,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
5,5,0.96,0,0.05,0.182,94.0467,99.8551,92.0491,99.8122,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
6,6,0.96,0,0.05,0.191,93.79,99.8551,93.5819,99.8319,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
7,7,0.96,0,0.05,0.178,94.1983,99.8601,94.1159,99.8814,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
8,8,0.96,0,0.05,0.174,94.3267,99.8517,93.8093,99.7627,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
9,9,0.96,0,0.05,0.179,94.2717,99.8179,94.0269,99.8221,"[2, 2, 12]",11156,97.4,39036,90.9,60978,92.9
